M,Opponent,Date,Result,Event
488,Ecuador,"March 25, 2007",3–1,Friendly
489,Guatemala,"March 28, 2007",0–0,Friendly
490,China,"June 2, 2007",4–1,Friendly
491,Guatemala,"June 7, 2007",1–0,Gold Cup GS
492,Trinidad and Tobago,"June 9, 2007",2–0,Gold Cup GS
493,El Salvador,"June 12, 2007",4–0,Gold Cup GS
494,Panama,"June 16, 2007",2–1,Gold Cup QF
495,Canada,"June 21, 2007",2–1,Gold Cup SF
496,Mexico,"June 24, 2007",2–1,Gold Cup F
497,Argentina,"June 28, 2007",1–4,Copa América GS
498,Paraguay,"July 2, 2007",1–3,Copa América GS
499,Colombia,"July 5, 2007",0–1,Copa América GS
500,Sweden,"August 22, 2007",0–1,Friendly
501,Brazil,"September 9, 2007",2–4,Friendly
502,Switzerland,"October 17, 2007",1–0,Friendly
503,South Africa,"November 17, 2007",1–0,Friendly
504,Sweden,"January 19, 2008",2–0,Friendly
505,Mexico,"February 6, 2008",2–2,Friendly
506,Poland,"March 26, 2008",3–0,Friendly
507,England,"May 28, 2008",0–2,Friendly
508,Spain,"June 4, 2008",0–1,Friendly
509,Argentina,"June 8, 2008",0–0,Friendly
510,Barbados,"June 15, 2008",8–0,World Cup Q
511,Barbados,"June 22, 2008",1–0,World Cup Q
512,Guatemala,"August 20, 2008",1–0,World Cup Q
513,Cuba,"September 6, 2008",1–0,World Cup Q
514,Trinidad and Tobago,"September 10, 2008",3–0,World Cup Q
515,Cuba,"October 11, 2008",6–1,World Cup Q
516,Trinidad and Tobago,"October 15, 2008",1–2,World Cup Q
517,Guatemala,"November 19, 2008",2–0,World Cup Q
518,Sweden,"January 24, 2009",3–2,Friendly
519,Mexico,"February 11, 2009",2–0,World Cup Q
520,El Salvador,"March 28, 2009",2–2,World Cup Q
521,Trinidad and Tobago,"April 1, 2009",3–0,World Cup Q
522,Costa Rica,"June 3, 2009",1–3,World Cup Q
523,Honduras,"June 6, 2009",2–1,World Cup Q
524,Italy,"June 15, 2009",1–3,Confederations Cup GS
525,Brazil,"June 18, 2009",0–3,Confederations Cup GS
526,Egypt,"June 21, 2009",3–0,Confederations Cup GS
527,Spain,"June 24, 2009",2–0,Confederations Cup SF
528,Brazil,"June 28, 2009",2–3,Confederations Cup F
529,Grenada,"July 4, 2009",4–0,Gold Cup GS
530,Honduras,"July 8, 2009",2–0,Gold Cup GS
531,Haiti,"July 11, 2009",2–2,Gold Cup GS
532,Panama,"July 18, 2009",2–1,Gold Cup QF
533,Honduras,"July 23, 2009",2–0,Gold Cup SF
534,Mexico,"July 26, 2009",0–5,Gold Cup F
535,Mexico,"August 12, 2009",1–2,World Cup Q
536,El Salvador,"September 5, 2009",2–1,World Cup Q
537,Trinidad and Tobago,"September 9, 2009",1–0,World Cup Q
538,Honduras,"October 10, 2009",3–2,World Cup Q
539,Costa Rica,"October 14, 2009",2–2,World Cup Q
540,Slovakia,"November 14, 2009",0–1,Friendly
541,Denmark,"November 18, 2009",1–3,Friendly
542,Honduras,"January 23, 2010",1–3,Friendly
542,El Salvador,"February 24, 2010",2–1,Friendly
542,Netherlands,"March 3, 2010",1–2,Friendly
542,Czech Republic,"May 25, 2010",2–4,Friendly
542,Turkey,"May 29, 2010",2–1,Friendly
542,Australia,"June 5, 2010",3–1,Friendly
542,England,"June 12, 2010",1–1,World Cup GS
542,Slovenia,"June 18, 2010",2–2,World Cup GS
542,Algeria,"June 23, 2010",1–0,World Cup GS
542,Ghana,"June 26, 2010",1–2,World Cup R16
542,Brazil,"August 10, 2010",0–2,Friendly
542,Poland,"October 9, 2010",2–2,Friendly
542,Colombia,"October 12, 2010",0–0,Friendly
542,South Africa,"November 17, 2010",1–0,Friendly
542,Chile,"January 22, 2011",1–1,Friendly
542,Argentina,"March 26, 2011",1–1,Friendly
542,Paraguay,"March 29, 2011",0–1,Friendly
542,Spain,"June 4, 2011",0–4,Friendly
560,Canada,"June 7, 2011",2–0,Gold Cup GS
561,Panama,"June 11, 2011",1–2,Gold Cup GS
562,Guadeloupe,"June 14, 2011",1–0,Gold Cup GS
563,Jamaica,"June 19, 2011",2–0,Gold Cup QF
564,Panama,"June 22, 2011",1–0,Gold Cup SF
565,Mexico,"June 25, 2011",2–4,Gold Cup F
566,Mexico,"August 10, 2011",1–1,Friendly
567,Costa Rica,"September 2, 2011",0–1,Friendly
568,Belgium,"September 6, 2011",0–1,Friendly
569,Honduras,"October 8, 2011",1–0,Friendly
570,Ecuador,"October 11, 2011",0–1,Friendly
571,France,"November 11, 2011",0–1,Friendly
572,Slovenia,"November 15, 2011",3–2,Friendly
573,Venezuela,"January 21, 2012",1–0,Friendly
574,Panama,"January 25, 2012",1–0,Friendly
575,Italy,"February 29, 2012",1–0,Friendly
576,Scotland,"May 26, 2012",5–1,Friendly
577,Brazil,"May 30, 2012",1–4,Friendly
578,Canada,"June 3, 2012",0–0,Friendly
579,Antigua and Barbuda,"June 8, 2012",3–1,World Cup Q
580,Guatemala,"June 12, 2012",1–1,World Cup Q
581,Mexico,"August 15, 2012",1–0,Friendly
582,Jamaica,"September 7, 2012",1–2,World Cup Q
583,Jamaica,"September 11, 2012",1–0,World Cup Q
584,Antigua and Barbuda,"October 12, 2012",2–1,World Cup Q
585,Guatemala,"October 16, 2012",3–1,World Cup Q
586,Russia,"November 14, 2012",2–2,Friendly
587,Canada,"January 29, 2013",0–0,Friendly
588,Honduras,"February 6, 2013",1–2,World Cup Q
589,Costa Rica,"March 22, 2013",1–0,World Cup Q
590,Mexico,"March 26, 2013",0–0,World Cup Q
591,Belgium,"May 29, 2013",2–4,Friendly
592,Germany,"June 2, 2013",4–3,Friendly
593,Jamaica,"June 7, 2013",2–1,World Cup Q
594,Panama,"June 11, 2013",2–0,World Cup Q
595,Honduras,"June 18, 2013",1–0,World Cup Q
596,Guatemala,"July 5, 2013",6–0,Friendly
597,Belize,"July 9, 2013",6–1,Gold Cup GS
598,Cuba,"July 13, 2013",4–1,Gold Cup GS
