M,Opponent,Date,Result,team_score,opponent_score,Event
685,Sweden,"July 21, 2021",0–3,0,3,Olympics
686,New Zealand,"July 24, 2021",6–1,6,1,Olympics
687,Australia,"July 27, 2021",0–0,0,0,Olympics
688,Netherlands,"July 30, 2021",2(4)–2(2),4,2,Olympics QF
689,Canada,"August 2, 2021",0–1,0,1,Olympics SF
690,Australia,"August 5, 2021",4–3,4,3,Olympics 3rd
691,Paraguay,"September 16, 2021",9–0,9,0,Friendly
692,Paraguay,"September 21, 2021",8–0,8,0,Friendly
693,South Korea,"October 21, 2021",0–0,0,0,Friendly
694,South Korea,"October 26, 2021",6–0,6,0,Friendly
695,Australia,"November 26, 2021",3–0,3,0,Friendly
696,Australia,"November 30, 2021",1–1,1,1,Friendly
697,Czech Republic,"February 17, 2022",0–0,0,0,SheBelieves Cup
698,New Zealand,"February 20, 2022",5–0,5,0,SheBelieves Cup
699,Iceland,"February 23, 2022",5–0,5,0,SheBelieves Cup
700,Uzbekistan,"April 9, 2022",9–1,9,1,Friendly
701,Uzbekistan,"April 12, 2022",9–0,9,0,Friendly
702,Colombia,"June 25, 2022",3–0,3,0,Friendly
703,Colombia,"June 28, 2022",2–0,2,0,Friendly
704,Haiti,"July 4, 2022",3–0,3,0,CONCACAF W Championship
705,Jamaica,"July 7, 2022",5–0,5,0,CONCACAF W Championship
706,Mexico,"July 11, 2022",1–0,1,0,CONCACAF W Championship
707,Costa Rica,"July 14, 2022",3–0,3,0,CONCACAF W Championship SF
708,Canada,"July 18, 2022",1–0,1,0,CONCACAF W Championship F
709,Nigeria,"September 3, 2022",4–0,4,0,Friendly
710,Nigeria,"September 6, 2022",2–1,2,1,Friendly
711,England,"October 7, 2022",1–2,1,2,Friendly
712,Spain,"October 11, 2022",0–2,0,2,Friendly
713,Germany,"November 10, 2022",1–2,1,2,Friendly
714,Germany,"November 13, 2022",2–1,2,1,Friendly
715,New Zealand,"January 17, 2023",4–0,4,0,Friendly
716,New Zealand,"January 20, 2023",5–0,5,0,Friendly
717,Canada,"February 16, 2023",2–0,2,0,SheBelieves Cup
718,Japan,"February 19, 2023",1–0,1,0,SheBelieves Cup
719,Brazil,"February 22, 2023",2–1,2,1,SheBelieves Cup
720,Republic of Ireland,"April 8, 2023",2–0,2,0,Friendly
721,Republic of Ireland,"April 11, 2023",1–0,1,0,Friendly
722,Wales,"July 9, 2023",2–0,2,0,Friendly
723,Vietnam,"July 21, 2023",3–0,3,0,World Cup
724,Netherlands,"July 26, 2023",1–1,1,1,World Cup
725,Portugal,"August 1, 2023",0–0,0,0,World Cup
726,Sweden,"August 6, 2023",0(4)–0(5),4,5,World Cup R16
727,South Africa,"September 21, 2023",3–0,3,0,Friendly
728,South Africa,"September 24, 2023",2–0,2,0,Friendly
729,Colombia,"October 26, 2023",0–0,0,0,Friendly
730,Colombia,"October 29, 2023",3–0,3,0,Friendly
731,China,"December 2, 2023",3–0,3,0,Friendly
732,China,"December 5, 2023",2–1,2,1,Friendly
733,Dominican Republic,"February 20, 2024",5–0,5,0,Gold Cup
734,Argentina,"February 23, 2024",4–0,4,0,Gold Cup
735,Mexico,"February 26, 2024",0–2,0,2,Gold Cup
736,Colombia,"March 3, 2024",3–0,3,0,Gold Cup QF
737,Canada,"March 6, 2024",2(3)–2(1),3,1,Gold Cup SF
738,Brazil,"March 10, 2024",1–0,1,0,Gold Cup F
739,Japan,"April 6, 2024",2–1,2,1,SheBelieves Cup SF
740,Canada,"April 9, 2024",2(5)–2(4),5,4,SheBelieves Cup F
741,South Korea,"June 1, 2024",4–0,4,0,Friendly
742,South Korea,"June 4, 2024",3–0,3,0,Friendly
743,Mexico,"July 13, 2024",1–0,1,0,Friendly
